country,region,population,male,female,lat,lon
Morocco,Africa,34377511,73.3,75.4,31.791702,-7.09262
Mozambique,Africa,27977863,55.7,59.4,-18.665695,35.529562
Myanmar,Asia,53897154,64.6,68.5,21.916221,95.955974
Namibia,Africa,2458830,63.1,68.3,-22.95764,18.49041
Nepal,Asia,28513700,67.7,70.8,28.394857,84.124008
Netherlands,Europe,16924929,80,83.6,52.132633,5.291266
New Zealand,Oceania,4528526,80,83.3,-40.900557,174.885971
Nicaragua,Americas,6082032,71.5,77.9,12.865416,-85.207229
Niger,Africa,19899120,60.9,62.8,17.607789,8.081666
Nigeria,Africa,182201962,53.4,55.6,9.081999,8.675277
Norway,Europe,5210967,79.8,83.7,60.472024,8.468946
Oman,Asia,4490541,75,79.2,21.4735329,55.975413
Pakistan,Asia,188924874,65.5,67.5,30.375321,69.345116
Panama,Americas,3929141,74.7,81.1,8.9823792,-79.5198696
Papua New Guinea,Oceania,7619321,60.6,65.4,-6.314993,143.95555
Paraguay,Americas,6639123,72.2,76,-23.442503,-58.443832
Peru,Americas,31376670,73.1,78,-9.189967,-75.015152
Philippines,Asia,100699395,65.3,72,12.879721,121.774017
Poland,Europe,38611794,73.6,81.3,51.919438,19.145136
Portugal,Europe,10349803,78.2,83.9,39.399872,-8.224454
Qatar,Asia,2235355,77.4,80,25.354826,51.183884
Romania,Europe,19511324,71.4,78.8,45.943161,24.96676
Rwanda,Africa,11609666,60.9,71.1,-1.940278,29.873888
Saint Lucia,Americas,184999,72.6,77.9,13.909444,-60.978893
Saint Vincent and the Grenadines,Americas,109462,71.3,75.2,13.2528179,-61.1971628
Samoa,Oceania,193228,70.9,77.5,-13.759029,-172.104629
Sao Tome and Principe,Africa,190344,65.6,69.4,0.18636,6.613081
Saudi Arabia,Asia,31540372,73.2,76,23.885942,45.079162
Senegal,Africa,15129273,64.6,68.6,14.497401,-14.452362
Serbia,Europe,8850975,72.9,78.4,44.016521,21.005859
Seychelles,Africa,96471,69.1,78,-4.679574,55.491977
Sierra Leone,Africa,6453184,49.3,50.8,8.460555,-11.779889
Singapore,Asia,5603740,80,86.1,1.352083,103.819836
Slovakia,Europe,5426258,72.9,80.2,48.669026,19.699024
Slovenia,Europe,2067526,77.9,83.7,46.151241,14.995463
Solomon Islands,Oceania,583591,67.9,70.8,-9.64571,160.156194
Somalia,Africa,10787104,53.5,56.6,5.152149,46.199616
South Africa,Africa,54490406,59.3,66.2,-30.559482,22.937506
South Sudan,Africa,12339812,56.1,58.6,6.8769919,31.3069788
Spain,Europe,46121699,80.1,85.5,40.463667,-3.74922
Sri Lanka,Asia,20715010,71.6,78.3,7.873054,80.771797
Sudan,Africa,40234882,62.4,65.9,12.862807,30.217636
Suriname,Americas,542975,68.6,74.7,3.919305,-56.027783
Swaziland,Africa,1286970,56.6,61.1,-26.522503,31.465866
Sweden,Europe,9779426,80.7,84,60.128161,18.643501
Switzerland,Europe,8298663,81.3,85.3,46.818188,8.227512
Syrian Arab Republic,Asia,18502413,59.9,69.9,34.802075,38.996815
Tajikistan,Asia,8481855,66.6,73.6,38.861034,71.276093
Thailand,Asia,67959359,71.9,78,15.870032,100.992541
Timor-Leste,Asia,1184765,66.6,70.1,-8.874217,125.727539
Togo,Africa,7304578,58.6,61.1,8.619543,0.824782
Tonga,Oceania,106170,70.6,76.4,-21.178986,-175.198242
Trinidad and Tobago,Americas,1360088,67.9,74.8,10.691803,-61.222503
Tunisia,Africa,11253554,73,77.8,33.886917,9.537499
Turkey,Asia,78665830,72.6,78.9,38.963745,35.243322
Turkmenistan,Asia,5373502,62.2,70.5,38.969719,59.556278
Uganda,Africa,39032383,60.3,64.3,1.373333,32.290275
Ukraine,Europe,44823765,66.3,76.1,48.379433,31.16558
United Arab Emirates,Asia,9156963,76.4,78.6,23.424076,53.847818
United Kingdom,Europe,64715810,79.4,83,55.378051,-3.435973
Uruguay,Americas,3431555,73.3,80.4,-32.522779,-55.765835
Uzbekistan,Asia,29893488,66.1,72.7,41.377491,64.585262
Vanuatu,Oceania,264652,70.1,74,-15.376706,166.959158
Venezuela,Americas,31108083,70,78.5,6.42375,-66.58973
Yemen,Asia,26832215,64.3,67.2,15.552727,48.516388
Zambia,Africa,16211767,59,64.7,-13.133897,27.849332
Zimbabwe,Africa,15602751,59,62.3,-19.015438,29.154857
